A spre jonct A-C-cateva eroz acoper de fibrina,antru spre joctiune antru corp cateva eroziuni acoperit de fibrina,N,
A-2 eroz circulare fara caract hemor activ,antru 2 eroziuni circulare fara caracter hemoragic activ,N,
A-3 eroz areolare dispuse prepiloric (1.5-0.5 cm) fara caract hemor,antru 3 eroziuni areolare dispuse prepiloric (1.5 0.5 cm) fara caracter hemoragic,N,
A-accentuat folicular,accentuat folicular la nivelul antrului,N,
A-accentuat folicular C-folicular,accentuat folicular la nivelul antrului corp folicular,N,
A-accentuat folicular eroz hemor prepiloric (medicamentos),accentuat folicular la nivelul antrului eroziuni hemoragic prepiloric (medicamentos),N,
A-accentuat mozaic,accentuat mozaic la nivelul antrului,N,
A-accetuat folicular cong difuz cateva eroz,antru accetuat folicular congestionat difuz cateva eroziuni,N,
A-apect de mozaic,antru apect de mozaic,N,
A-cateva eroz,antru cateva eroziuni,N,
A-cateva eroz liniare supf,antru cateva eroziuni liniare superficiale,N,
A-cateva eroz precardial,antru cateva eroziuni precardial,N,
A-cateva eroz punctiforme si supf minim folicular,antru cateva eroziuni punctiforme si superficiale minim folicular,N,
A-cateva hemor subepit,antru cateva hemoragic subepiteliala,N,
A-cateva petesii,antru cateva petesii,N,
A-cateva petesii pe un fond cong,antru cateva petesii pe un fond congestionat,N,
A-cicatr (posibil post leziune ulceroasa),antru cicatrici (posibil posterioara leziune ulceroasa),N,
A-cong,congestionat la nivelul antrului,N,
A-cong cu aspect de mozaic jonct A-C-folicular,congestionat la nivelul antrului cu aspect de mozaic joctiune antru corp folicular,N,
A-cong difuz,congestionat la nivelul antrului difuz,N,
A-cong difuz cu aspect folicular ce se extinde spre jonct A-C,congestionat la nivelul antrului difuz cu aspect folicular ce se extinde spre joctiune antru corp,N,
A-cong difuz cu cateva eroz hemor,congestionat la nivelul antrului difuz cu cateva eroziuni hemoragic,N,
A-cong difuz impregn cu bila,congestionat la nivelul antrului difuz impregnat cu bila,N,
A-cong difuz tapetat de mucus aerat,congestionat la nivelul antrului difuz tapetat de mucus aerat,N,
A-cong difuz 1 petes,congestionat la nivelul antrului difuz 1 petes,N,
A-cong difuz 2 mici eroz,congestionat la nivelul antrului difuz 2 mici eroziuni,N,
A-cong difuz 2-3 eroz,congestionat la nivelul antrului difuz 2 3 eroziuni,N,
A-cong difuz 4-5 eroz,congestionat la nivelul antrului difuz 4 5 eroziuni,N,
A-cong difuz aspect folicular,congestionat la nivelul antrului difuz aspect folicular,N,
A-cong difuz cateva eroz,congestionat la nivelul antrului difuz cateva eroziuni,N,
A-cong difuz cu 2-3 eroz si un mic polip 0.5/0.5 cm situat la 2 cm de pilor,congestionat la nivelul antrului difuz cu 2 3 eroziuni si un mic polip 0.5/0.5 cm situat la 2 cm de pilor,N,
